symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
AXON,short,-0.0074394225482506,-661.9574377281228,530.93,-1.9942,-1061.353124,1.2467885365832085,1.0,-1.0,-0.005800000000000027,-0.9942,-0.0059322601070266835,0.0015071624412239164,134.10683172812287,0.0,0.0,546.8579,True,['short_target_integer']
BLK,short,-0.0023391935085862,-208.14068985207732,1059.02,0.0,0.0,0.19654084894721283,0.0,-0.0,0.0,0.0,0.0,0.0023391935085862,208.14068985207732,0.0,0.0,1090.7906,True,"['short_target_integer', 'carried_by_min_trade_notional']"
BSX,short,-0.0282138791323649,-2510.4619367565065,43.38,-57.0,-2472.66,57.871413940906095,58.0,-58.0,0.0,-58.0,-0.028276568313124976,-6.268918076007341e-05,-5.578063243493489,1.0,44.681400000000004,44.681400000000004,True,['short_target_integer']
BUD,short,-0.0010680761280866,-95.03707209278467,81.7,0.0,0.0,1.1632444564600326,1.0,-1.0,0.0,-1.0,-0.0009181871636310674,0.00014988896445553262,13.337072092784666,1.0,84.15100000000001,84.15100000000001,True,['short_target_integer']
BX,short,-0.0125831038209897,-1119.6405513984407,123.575,-9.0,-1112.175,9.060413120764238,9.0,-9.0,0.0,-9.0,-0.012499202065010798,8.390175597890177e-05,7.465551398440766,0.0,0.0,127.28225,True,"['short_target_integer', 'carried_by_min_trade_notional']"
CE,long,0.0030203698163062,268.75153973658445,45.15,6.0058,270.921638,5.952415055073853,6.0058,6.0058,0.0,6.0058,0.0030447585111567045,2.4388694850504355e-05,2.1700982634155253,0.0,0.0,45.20418,False,['carried_by_min_trade_notional']
CEG,short,-0.0316710429590902,-2818.079267766099,259.28,-11.0142,-2855.651634,10.868864809341636,11.0,-11.0,0.014200000000000657,-11.0142,-0.03209330078507812,-0.00042225782598792215,-37.57236623390099,0.0,0.0,267.0584,True,"['short_target_integer', 'carried_by_min_trade_notional']"
CELH,short,-0.0322652572052467,-2870.9522612405453,28.29,-96.9101,-2741.586729,101.48293606364601,102.0,-102.0,-0.08990000000000009,-101.9101,-0.03240106874962913,-0.00013581154438243185,-12.084467759454583,5.0,145.6935,29.1387,True,['short_target_integer']
CLH,long,0.0012801821211494,113.91019548159483,300.14,9.6226,2888.127164,0.37952354061969357,0.3795,0.3795,0.0,0.3795,0.0012801027155863,-7.940556309975365e-08,-0.007065481594835887,0.0,0.0,300.50016800000003,False,[]
CLS,short,-1.2921251071044675e-05,-1.1497287855012124,317.56,-0.0039,-1.238582,0.0036205088345547688,0.0,-0.0,0.0039,-0.0039,-1.3919829785856727e-05,-9.985787148120525e-07,-0.08885321449878769,0.0,0.0,327.0868,True,"['short_target_integer', 'carried_by_min_trade_notional']"
COF,short,-0.0016671747783851,-148.3446782847771,205.15,0.0,0.0,0.7231034768938683,1.0,-1.0,0.0,-1.0,-0.002305582577954877,-0.0006384077995697772,-56.8053217152229,1.0,211.30450000000002,211.30450000000002,True,['short_target_integer']
COKE,long,0.0333333333333333,2965.98933333333,181.49,16.2016,2940.428384,16.342439436516226,16.3424,16.3424,0.0,16.3424,0.03333325289549255,-8.043784074476298e-08,-0.007157333329359972,0.14080000000000226,25.584456550400414,181.70778800000002,False,[]
CORT,short,-0.0089698952299617,-798.1384071955183,94.7,0.0,0.0,8.42807188168446,8.0,-8.0,0.0,-8.0,-0.008514303490414892,0.00045559173954680767,40.53840719551829,8.0,780.3280000000001,97.54100000000001,True,['short_target_integer']
CVCO,long,0.0333333333333333,2965.98933333333,569.96,5.3008,3018.381536,5.203855241303477,5.2038,5.2038,0.0,5.2038,0.03333297948475428,-3.5384857901633915e-07,-0.03148533332932857,0.0,0.0,570.6439520000001,False,[]
CYTK,long,0.0069325745083236,616.8582613267912,79.47,7.7646,618.45039,7.762152527076774,7.7646,7.7646,0.0,7.7646,0.006950467679811841,1.7893171488240647e-05,1.5921286732087765,0.0,0.0,79.565364,False,['carried_by_min_trade_notional']
D,flat,0.0,0.0,70.45,-0.0288,-2.02896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
DB,short,-0.0324503660140175,-2887.4231838101523,35.15,-82.8841,-2912.961695,82.14575202873833,82.0,-82.0,-0.11589999999999634,-81.8841,-0.03234700456328906,0.00010336145072844002,9.19706881015236,0.0,0.0,36.2045,True,['short_target_integer']
DDS,long,0.0025303446674791,225.14925880199672,555.57,1.6296,907.491648,0.40525812913223663,0.4052,0.4052,0.0,0.4052,0.0025299817216694873,-3.6294580961292124e-07,-0.03229480199669865,0.0,0.0,556.2366840000001,False,[]
DHR,short,-0.0051194542009684,-455.5273965768239,175.08,-2.0,-350.52,2.601824289335297,3.0,-3.0,0.0,-3.0,-0.005902920756739067,-0.0007834665557706672,-69.71260342317612,1.0,180.3324,180.3324,True,['short_target_integer']
DOCN,long,0.0265480510872299,2362.237090365368,131.58,19.7521,2597.796192,17.952858263910684,17.9528,17.9528,0.0,17.9528,0.02654796492862191,-8.615860798887212e-08,-0.007666365368095285,0.0,0.0,131.73789600000003,False,[]
DOCS,long,0.0333333333333333,2965.98933333333,21.57,138.5715,2972.358675,137.50530057178162,138.5715,138.5715,0.0,138.5715,0.03340491531324905,7.158197991575327e-05,6.369341666670152,0.0,0.0,21.595884,False,['carried_by_min_trade_notional']
DUOL,long,0.0333333333333333,2965.98933333333,130.06,22.1282,2869.363694,22.804777282279947,22.8047,22.8047,0.0,22.8047,0.03333322037121285,-1.1296212044768712e-07,-0.010051333329556655,0.6765000000000008,88.09117270800012,130.21607200000003,False,[]
EQT,short,-0.0099782163507892,-887.8584978639907,49.36,-18.9694,-936.13989,17.987408789789114,18.0,-18.0,-0.03059999999999974,-17.9694,-0.00996822627368406,9.990077105139486e-06,0.8889138639906378,0.0,0.0,50.8408,True,['short_target_integer']
FBIN,short,-0.0333333333333333,-2965.98933333333,49.535,-56.0,-2774.24,59.876639413209446,60.0,-60.0,0.0,-60.0,-0.03340200818883592,-6.867485550262839e-05,-6.110666666670113,4.0,204.08419999999998,51.021049999999995,True,['short_target_integer']
FNB,long,0.0333333333333333,2965.98933333333,18.89,163.182,3084.1398,157.01372860419957,157.0137,157.0137,0.0,157.0137,0.03333332726078583,-6.0725474603760424e-09,-0.0005403333298090729,0.0,0.0,18.912668000000004,False,[]
GFL,short,-0.0041805836421954,-371.98699469578116,38.66,-9.5278,-368.344748,9.622012278732054,9.0,-9.0,0.5277999999999992,-9.5278,-0.004139650176309917,4.093346588548287e-05,3.642246695781182,0.0,0.0,39.8198,True,"['short_target_integer', 'carried_by_min_trade_notional']"
